NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難場所(所)との重複,想定収容人数,指定の有無,対象となる町会・自治会,URL,備考
219,田尻中学校,タジリチュウガッコウ,宮城県大崎市田尻沼部字早稲田15,,38.602419,141.05044,,0229-39-0043,,42153,宮城県,大崎市,1,1,,1,,,,,1,932,1,,,洪水時校舎２階。予備・指定避難所（鳴子ダムにおける異常洪水時防災操作の際は，使用不可となる。）
220,田尻総合体育館,タジリソウゴウタイイクカン,宮城県大崎市田尻沼部字早稲田42,,38.602062,141.054622,,0229-39-0001,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
221,下高野集落ｾﾝﾀｰ,シモゴウヤシュウラクセンター,宮城県大崎市田尻沼部字山崎一54,,38.600243,141.057502,,－,,42153,宮城県,大崎市,,1,,1,,,,,,40,1,,,
222,北長根ゆうゆう館,キタナガネユウユウカン,宮城県大崎市田尻大貫字北長根153,,38.618298,141.083157,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,40,1,,,
223,大貫小学校,オオヌキショウガッコウ,宮城県大崎市田尻大貫字境37-1,,38.609326,141.107537,,0229-39-0309,,42153,宮城県,大崎市,1,1,,1,,,,,1,421,1,,,予備・指定避難所（東北電力株式会社女川原子力発電所における重大事故等に起因する原子力災害が発生若しくは発生するおそれがある場合，市域を越え石巻市の避難者を受け入れる避難所として開設する。ただし，複合災害等により大崎市民の避難が必要な場合は，大崎市民の避難を優先する。）
224,大貫地区公民館,オオヌキチクコウミンカン,宮城県大崎市田尻大貫字境36-1,,38.610845,141.105881,,0229-39-0308,,42153,宮城県,大崎市,1,1,,1,,,,,1,200,1,,,"収容地区：北長根,北又,上南曲田,新田ノ目,宿・鹿飼,田尻長根,舞岳,中沢目,伸萌,小沢,長沢"
225,北又公会堂(花ごころの館),キタマタコウカイドウ（ハナゴコロノヤカタ）,宮城県大崎市田尻大貫字二又83-3,,38.608808,141.102278,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,30,1,,,
226,曲田生活ｾﾝﾀｰ,マガタセイカツセンター,宮城県大崎市田尻大貫字北新屋敷18-7,,38.604845,141.097717,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,20,1,,,
227,上南公会堂,カミミナミコウカイドウ,宮城県大崎市田尻大貫字引地西32-5,,38.606119,141.093225,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,20,1,,,
228,大貫地区農作業準備休養施設,オオヌキチクノウサギョウジュンビキュウヨウシセツ,宮城県大崎市田尻大貫字狩野36-7,,38.602141,141.107214,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,50,1,,,
229,宿構造改善ｾﾝﾀｰ,シュクコウゾウカイゼンセンター,宮城県大崎市田尻大貫字宿上屋敷60,,38.596854,141.120669,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,40,1,,,
230,鹿飼公会堂,シカガイコウカイドウ,宮城県大崎市田尻大貫字鹿飼道上59-2,,38.596776,141.129222,,－,,42153,宮城県,大崎市,1,,,1,,,,,,40,1,,,
231,長根集落ｾﾝﾀｰ,ナガネシュウラクセンター,宮城県大崎市田尻大貫字四島25-26,,38.606928,141.130004,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,50,1,,,
232,舞岳生活ｾﾝﾀｰ,マイタケセイカツセンター,宮城県大崎市田尻蕪栗字舞岳38-1,,38.611873,141.113924,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,40,1,,,
233,中沢目構造改善ｾﾝﾀｰ,ナカサワメコウゾウカイゼンセンター,宮城県大崎市田尻蕪栗字小沢田60,,38.617513,141.101471,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,50,1,,,
234,伸萠第二集会所,シンポウダイニシュウカイジョ,宮城県大崎市田尻蕪栗字伸萠中49,,38.625661,141.091095,,－,,42153,宮城県,大崎市,,1,,1,,,,,,30,1,,,
235,小沢構造改善ｾﾝﾀｰ,コザワコウゾウカイゼンセンター,宮城県大崎市田尻蕪栗字新山沢7-3,,38.622858,141.089861,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,50,1,,,
236,長沢農村生活改善ｾﾝﾀｰ,ナガサワノウソンセイカツカイゼンセンター,宮城県大崎市田尻蕪栗字長沢23,,38.627989,141.076454,,－,,42153,宮城県,大崎市,,1,,1,,,,,,50,1,,,
